№,Модель,организация,адрес
13245.0,Wincor ProCash 2050xe ,Алматинский технологический университет,"ул.Фурката, 348/4"
13254.0,NCR SS 6622,Магазин Тим,"г.Алматы, ул.Кенесары Хана, д.90"
13258.0,GRG H68VL-офисный,"ТРЦ ""Алматы Mall""","ул. Жандосова, 83 (Цокольный этаж возле АТМ НБ, 2-ой с левой стороны )"
13260.0,GRG H68VL-офисный,Super Magnum,"г.Алматы, мкр.Астана, 1/10"
13267.0,NCR SS 6634 CashIn,"Магазин ""Ак Жол""","г.Алматы, ул.Московская 17"
13280.0,GRG H68VL-офисный,"ТД ""Нур""","ул.Улугбека, 70-Б"
13281.0,NCR SS 6632 CashIn,Супермаркет Аспан,"Алматинская обл., Карасайский район, с.Коксай, ул.Жана Гасыр, 85 "
13291.0,Diebold Nixdorf CINEO C4060 EPP8,Фарм-склад Inkar,"Алматинская обл., Карасайский район, село. Ккосай, ул.Жана Гасыр, 88в"
13300.0,Diebold Nixdorf CINEO C4060 EPP8,"Магазин ""Нурлы""","г. Алматы, ул. Яссауи, 64, уг.ул. Есенова"
13314.0,NCR SS 6632 CashIn,ТОО Бостан,"мкр.Айгерим, ул.Бенберина, 20"
13318.0,NCR SS 6632 CashIn,Swissotel,"г.Алматы Таусамалы, 50"
13322.0,GRG H68VL-офисный,Магнум Express,"г.Алматы, мкр.Аксай 5, д.25"
13323.0,Diebold Nixdorf CINEO C4060 EPP8,ЦБО №1,"мкр. Аксай - 2, д. 12"
13328.0,Diebold Nixdorf CINEO C4060 EPP8,Супермаркет Магнум,"мкр.""Таугуль"" ул. Пятницкого, 15/16"
13331.0,Diebold Nixdorf CINEO C4060 EPP6,"ТЦ ""Grand Park""","ул. Кабдолова, 1/4,  блок 8 (возле супермаркета Carefood)"
13336.0,GRG H68VL-офисный,"супермаркет ""Реалист""","г. Алматы, мкр. Орбита-3, 5Б (ул. Мустафина, уг. ул. Биржана)"
13339.0,Diebold Nixdorf CINEO C2590 EPP6,ЦПС №30 (134002),"г.Алматы,Жетысу-4, дом 13 А"
13340.0,GRG H68VL-офисный,Super Magnum,"г.Алматы, мкр.Астана, 1/10"
13345.0,Diebold Nixdorf CINEO C4060 EPP6,"Супермаркет ""Рамстор""","мкр.10, 11-А"
13347.0,Diebold Nixdorf CINEO C4060 EPP6,"Медецинский центр ""Private Clinic KZ""","г. Алматы, мкр. Мирас, 45"
13350.0,GRG H48VD-островной Cash-in,Минимаркет T-MART,"мкр. Акбулак, ул. 1-я, 61"
13352.0,GRG H48VD-островной Cash-in,Торговый Комплекс NURKENT,"мкр. Нуркент, 57"
13354.0,Diebold Nixdorf CINEO C4060 EPP6,Городская больница 7,"г.Алматы, мкр.Калкаман, 20"
13355.0,GRG H48VD-островной Cash-in,МАРКЕТ AR-ZHAN,"мкр. Саялы, 11/1"
13362.0,Diebold Nixdorf CINEO C4060 EPP6,"Магазин ""ШАХ""","мкр. Зердели, 1/17"
13366.0,Diebold Nixdorf CINEO C4060 EPP6,"ТД ""Car City""","мкр.""Баян аул"", д 57 а"
13372.0,Diebold Nixdorf CINEO C4060 EPP6,"РГП ""Банкнотная фабрика НБ РК""","г. Алматы, ул. Фурката, 4, уг. ул. Чимбулатова"
13374.0,Diebold Nixdorf CINEO C4060 EPP6,ЦПС №11 (131480) Армада,"г. Алматы, ул. З. Кадболова 1/8"
13375.0,Diebold Nixdorf CINEO C4060 EPP6,"Магазин бытовой техники ""Mechta.kz""","г. Алматы, ул. Аскарова, 4/3"
13376.0,Diebold Nixdorf CINEO C4060 EPP6,Городская больница 7,"г.Алматы, мкр.Калкаман, 20"
13377.0,GRG H48VD-островной Cash-in,"Супермаркет ""Тоймарт""","г. Алматы, Наурызбайский район, Шугыла, 340/35 к14"
13378.0,Diebold Nixdorf CINEO C4060 EPP6,"ТЦ ""Grand Park""","ул. Кабдолова, 1/4,  блок 8 (возле супермаркета Carefood)"
