"atm_number","model","organization","address","sector","region"
"13242","WN 2000 XE USB","Детская клиническая инфекционная больница","ул. Бауыржана Момышулы, 1/55","","Запад"
"13244","GRG H68VL-офисный","ТОО «Magnum Cash &Carry» АФ 1","г. Алматы, мкр. Жетысу-3, 1Г (пр. Абая, уг. ул. Момышулы)","","Запад"
"13245","Wincor ProCash 2050xe","Алматинский технологический университет","ул.Фурката, 348/4","","Запад"
"13254","NCR SS 6622","Магазин Тим","г.Алматы, ул.Кенесары Хана, д.90","","Запад"
"13258","GRG H68VL-офисный","ТРЦ ""Алматы Mall""","ул. Жандосова, 83 (Цокольный этаж возле АТМ НБ, 2-ой с левой стороны )","","Запад"
"13260","GRG H68VL-офисный","Super Magnum","г.Алматы, мкр.Астана, 1/10","","Запад"
"13267","NCR SS 6634 CashIn","Магазин ""Ак Жол""","г.Алматы, ул.Московская 17","","Запад"
"13280","GRG H68VL-офисный","ТД ""Нур""","ул.Улугбека, 70-Б","","Запад"
"13281","NCR SS 6632 CashIn","Супермаркет Аспан","Алматинская обл., Карасайский район, с.Коксай, ул.Жана Гасыр, 85","","Запад"
"13291","Diebold Nixdorf CINEO C4060 EPP8","Фарм-склад Inkar","Алматинская обл., Карасайский район, село. Ккосай, ул.Жана Гасыр, 88в","","Запад"
"13300","Diebold Nixdorf CINEO C4060 EPP8","Магазин ""Нурлы""","г. Алматы, ул. Яссауи, 64, уг.ул. Есенова","","Запад"
"13314","NCR SS 6632 CashIn","ТОО Бостан","мкр.Айгерим, ул.Бенберина, 20","","Запад"
"13318","NCR SS 6632 CashIn","Swissotel","г.Алматы Таусамалы, 50","","Запад"
"13322","GRG H68VL-офисный","Магнум Express","г.Алматы, мкр.Аксай 5, д.25","","Запад"
"13323","Diebold Nixdorf CINEO C4060 EPP8","ЦБО №1","мкр. Аксай - 2, д. 12","","Запад"
"13328","Diebold Nixdorf CINEO C4060 EPP8","Супермаркет Магнум","мкр.""Таугуль"" ул. Пятницкого, 15/16","","Запад"
"13331","Diebold Nixdorf CINEO C4060 EPP6","ТЦ ""Grand Park""","ул. Кабдолова, 1/4,  блок 8 (возле супермаркета Carefood)","","Запад"
"13336","GRG H68VL-офисный","супермаркет ""Реалист""","г. Алматы, мкр. Орбита-3, 5Б (ул. Мустафина, уг. ул. Биржана)","","Запад"
"13339","Diebold Nixdorf CINEO C2590 EPP6","ЦПС №30 (134002)","г.Алматы,Жетысу-4, дом 13 А","","Запад"
"13340","GRG H68VL-офисный","Super Magnum","г.Алматы, мкр.Астана, 1/10","","Запад"
"13345","Diebold Nixdorf CINEO C4060 EPP6","Супермаркет ""Рамстор""","мкр.10, 11-А","","Запад"
"13347","Diebold Nixdorf CINEO C4060 EPP6","Медецинский центр ""Private Clinic KZ""","г. Алматы, мкр. Мирас, 45","","Запад"
"13350","GRG H48VD-островной Cash-in","Минимаркет T-MART","мкр. Акбулак, ул. 1-я, 61","","Запад"
"13352","GRG H48VD-островной Cash-in","Торговый Комплекс NURKENT","мкр. Нуркент, 57","","Запад"
"13354","Diebold Nixdorf CINEO C4060 EPP6","Городская больница 7","г.Алматы, мкр.Калкаман, 20","","Запад"
"13355","GRG H48VD-островной Cash-in","МАРКЕТ AR-ZHAN","мкр. Саялы, 11/1","","Запад"
"13362","Diebold Nixdorf CINEO C4060 EPP6","Магазин ""ШАХ""","мкр. Зердели, 1/17","","Запад"
"13366","Diebold Nixdorf CINEO C4060 EPP6","ТД ""Car City""","мкр.""Баян аул"", д 57 а","","Запад"
"13372","Diebold Nixdorf CINEO C4060 EPP6","РГП ""Банкнотная фабрика НБ РК""","г. Алматы, ул. Фурката, 4, уг. ул. Чимбулатова","","Запад"
"13374","Diebold Nixdorf CINEO C4060 EPP6","ЦПС №11 (131480) Армада","г. Алматы, ул. З. Кадболова 1/8","","Запад"
"13375","Diebold Nixdorf CINEO C4060 EPP6","Магазин бытовой техники ""Mechta.kz""","г. Алматы, ул. Аскарова, 4/3","","Запад"
"13376","Diebold Nixdorf CINEO C4060 EPP6","Городская больница 7","г.Алматы, мкр.Калкаман, 20","","Запад"
"13377","GRG H48VD-островной Cash-in","Супермаркет ""Тоймарт""","г. Алматы, Наурызбайский район, Шугыла, 340/35 к14","","Запад"
"13378","Diebold Nixdorf CINEO C4060 EPP6","ТЦ ""Grand Park""","ул. Кабдолова, 1/4,  блок 8 (возле супермаркета Carefood)","","Запад"
"13381","Diebold Nixdorf CINEO C4060 EPP6","РГКП ""НАЦИОНАЛЬНЫЙ НАУЧНО-ПРАКТИЧЕСКИЙ, ОБРАЗОВАТЕЛЬНЫЙ И ОЗДОРОВИТЕЛЬНЫЙ ЦЕНТР ""БОБЕК"" МОН РК","ул.Байкенова, д.44","","Запад"
"13385","Diebold Nixdorf CINEO C2590 EPP6","ЦПС №30 (134002)","г.Алматы,Жетысу-4, дом 13 А","","Запад"
"13389","Diebold Nixdorf CINEO C4060 EPP8","ТЦ ""Р?ш""","г. Алматы, мкр. 4, д.10А, ЦПС № 34 (131405)","","Запад"
"13408","Diebold Nixdorf CINEO C4060 EPP6","КазГАСА","ул. Рыскулбекова, 28","","Запад"
"13412","Diebold Nixdorf CINEO C4060 EPP6","ТОО ""Дудар""","ул. Немировича Данченко, д. 51Б","","Запад"
"13414","GRG H48VD-островной Cash-in","ТД АРЫСТАН","ул. Жубанова, 20Б","","Запад"
"13416","GRG H48VD-островной Cash-in","ТОО ИСК ""МАСАТО""","ул. Жандосова, 162 А","","Запад"
"13421","Diebold Nixdorf CINEO C4060 EPP6","ТОО ""Hyundai Trans Kazakhstan""","г. Алматы, Алатауский район, мкр. Алгабас, улица 7, дом 138/5","","Запад"
"13425","Diebold Nixdorf CINEO C2560 CashIn  EPP8","ЦПС №32","Мкр. Нуркент 5-22","","Запад"
"13433","Diebold Nixdorf CINEO C4060 EPP8","Городская детская поликлиника№2","Микр.2, 54","","Запад"
"13438","Diebold Nixdorf CINEO C2590 EPP8 кнопочный","ЦПС №33 (131403)","пр. Райымбека, 383, уг. ул. Емцова","","Запад"
"13445","GRG H48VD-островной Cash-in","Супермаркет Тоймарт","мкр.11, 27","","Запад"
"13446","GRG H48VD-островной Cash-in","на территории магазина ""Asar""","мкр. Орбита 2, 2","","Запад"
"13454","Diebold Nixdorf CINEO C4060 EPP8","ЦБО №1","мкр. Аксай - 2, д. 12","","Запад"
"13459","Diebold Nixdorf CINEO C4060","ТРЦ Shanyraq Plaza","мкр Шанырак-2, ул.Сырым батыра, 209а","","Запад"
"13461","Diebold Nixdorf CINEO C4060 EPP8","?Супермаркет ""Orange""","г. Алматы, ул. Утеген батыра, 90","","Запад"
"13463","Diebold Nixdorf CINEO C4060 EPP6","ТЦ ""Alatau Plaza""","ул.Ырыста, 46/4","","Запад"
"13466","Diebold Nixdorf CINEO C4060 EPP8","ЦПС №33 (131403)","пр. Райымбека, 383, уг. ул. Емцова","","Запад"
"13469","Diebold Nixdorf CINEO C2560 CashIn  EPP8","Магазин БЕРЕКЕ (ТОО Кабанбай Инвест)","г.Алматы, мкр.Акжар, ул.Егенсу 39/17","","Запад"
"13471","Diebold Nixdorf CINEO C2560 CashIn  EPP8","Магазин ""Берекелик""","мкр.Туркестан, 35-А","","Запад"
"13474","Diebold Nixdorf CINEO C2590 EPP8","ЦПС №33 (131403)","пр. Райымбека, 383, уг. ул. Емцова","","Запад"
"13475","Diebold Nixdorf CINEO C2590 EPP8","ЦПС №33 (131403)","пр. Райымбека, 383, уг. ул. Емцова","","Запад"
"13477","Diebold Nixdorf CINEO C2590 EPP8","магазин ""ASAR""","мкр. Таугуль 1, дом 58","","Запад"
"13481","Diebold Nixdorf CINEO C2590 EPP8","ТД Bahas","мкр.Саялы, ул.Аксай, 1","","Запад"
"13483","Diebold Nixdorf CINEO C2590 EPP8","ЦПС №33 (131403)","пр. Райымбека, 383, уг. ул. Емцова","","Запад"
"13484","Diebold Nixdorf CINEO C2590 EPP8","Универсальный рынок ""Тау Самалы""","ул. Кунаева, 35в/2","","Запад"
"13488","Diebold Nixdorf CINEO C2590 EPP8","ТД TORNADO","г.Алматы, мкр. 3, 20а","","Запад"
"13489","Diebold Nixdorf CINEO C2590 EPP8","Супермаркет Димаш","мкр.Дарабоз, 39","","Запад"
"13490","Diebold Nixdorf CINEO C2590 EPP8","стоматологическая клиника ""Sanitas Pharm""","г.Алматы, мкр. 2, д.55-б","","Запад"
"13494","Diebold Nixdorf CINEO C2590 EPP8","стоматологическая клиника ""Sanitas Pharm""","г.Алматы, мкр. 2, д.55-б","","Запад"
"13501","Diebold Nixdorf CINEO DN 2000 EPP8","г.Алматы, мкр.Шугыла, 347, 131436","Центр персонального сервиса №61","","Запад"
"13503","GRG H48VD-островной Cash-in","City market","ул.Утеген батыра, 11в к4","","Запад"
"13504","GRG H48VD-островной Cash-in","Торговый дом The Boxpark","6-й микрорайон, 11 А","","Запад"
"13505","GRG H48VD-островной Cash-in","ЦБО №1","мкр. Аксай - 2, д. 12","","Запад"
"13507","GRG H48VD-островной Cash-in","ЦБО №1","мкр. Аксай - 2, д. 12","","Запад"
"13508","GRG H48VD-островной Cash-in","ЦПС №42 (131513)","г. Алматы, мкр. Орбита 3, д.4","","Запад"
"13509","GRG H48VD-островной Cash-in","ЦПС №42 (131513)","г. Алматы, мкр. Орбита 3, д.4","","Запад"
"13511","GRG H48VD-островной Cash-in","ТОО ИСК ""МАСАТО""","ул. Жандосова, 162 А","","Запад"
"13512","GRG H48VD-островной Cash-in","г. Алматы, мкр. ""Астана"", 8Б , отделение №131434","Центр персонального сервиса №38","","Запад"
"13513","GRG H48VD-островной Cash-in","ЦПС №42 (131513)","г. Алматы, мкр. Орбита 3, д.4","","Запад"
"13515","GRG H48VD-островной Cash-in","ТЦ Qaratau","ул.Щепкина, 35Б","","Запад"
"13519","GRG H48VD-островной Cash-in","ЦПС №42 (131513)","г. Алматы, мкр. Орбита 3, д.4","","Запад"
"13522","GRG H48VD-островной Cash-in","ТД ""Мир""","2 мкр, 28А","","Запад"
"13526","GRG H48VD-островной Cash-in","ЦПС №42 (131513)","г. Алматы, мкр. Орбита 3, д.4","","Запад"
"13527","GRG H48VD-островной Cash-in","ТОО Управляющая компания «Ком-Service»","ул.Алтын Орда","","Запад"
"13530","GRG H68V-межстенный Cash-in","Супермаркет Авоська","п. Каргалы, ЖК ""Хан Тенгри"" ул. Мустафина, д. 54/14,кор.2 пом.2","","Запад"
"13533","GRG H68V-межстенный Cash-in","Магазин «Золотое руно»","г.Алматы, мкр, Таусамал. Ул.Рыскулова д 90а","","Запад"
"13536","GRG H68VL-офисный","ТЦ ""Метро""","г. Алматы ул.Саина 16Г","","Запад"
"13538","GRG H68VL-офисный","ЦПС №32","Мкр. Нуркент 5-22","","Запад"
"13545","GRG H68V-межстенный Cash-in","минимаркет Керемет","Кенжина 4/1","","Запад"
"13547","GRG H68VL-офисный","ТД ""Армада""","г. Алматы, ул. З. Кадболова 1/8","","Запад"
"13548","GRG H68VL-офисный","Автовокзал ""Сайран""","ул.Толе би, 294","","Запад"
"13550","GRG H68VL-офисный","ЦПС №3 при Апорт","Трасса Алматы-Бишкек, уч.767","","Запад"
"13551","GRG H68VL-офисный","ЦПС №3 при Апорт","Трасса Алматы-Бишкек, уч.767","","Запад"
"13552","GRG H68VL-офисный","ЦПС №3 при Апорт","Трасса Алматы-Бишкек, уч.767","","Запад"
"13558","GRG H68VL-офисный","ЦПС №3 при Апорт","Трасса Алматы-Бишкек, уч.767","","Запад"
"13561","GRG H68VL-офисный","Маркет TUMAR","г. Алматы, мкр.Гажайып 5/1блок 11,","","Запад"
"13563","GRG H68VL-офисный","Супермаркет ""Магнум""","г. Алматы, мкр. Ак-Булак, ул. АЗТМ, 273","","Запад"
"13569","GRG H68VL-офисный","Супермаркет ""Магнум""","г. Алматы, мкр. Ак-Булак, ул. АЗТМ, 273","","Запад"
"13575","GRG H68VL-офисный","пивной магазин ""Волна""","г.Алматы, мкр. Мамыр-2, д.3","","Запад"
"13576","GRG H68VL-офисный","ТД ""Армада""","г. Алматы, ул. З. Кадболова 1/8","","Запад"
"13577","GRG H68VL-офисный","Супермаркет Нурым","г.Алматы, мкр.Шугыла, ул.Сыгай, 12","","Запад"
"13579","GRG H68VL-офисный","Мини-маркет Жибек","г.Алматы, мкр.Шугыла, 340/4 к4","","Запад"
"13580","GRG H68VL-офисный","Magnum Super","ул.Жунисова, 14/15","","Запад"
"13581","GRG H68VL-офисный","Минимаркет ""Ер-Айко""","г. Алматы, мкр. Калкаман-2, ул. Молдабекова, 11","","Запад"
"13589","GRG H68VL-офисный","Магазин Олжас","г.Алматы, ул.Байтенова, 61","","Запад"
"13590","GRG H68VL-офисный","ТД Коктем","г.Алматы, мкр.Шу?ыла, ул.Жуалы, д.90","","Запад"
